"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",1
"7",1
"8",1
"9",1
"10",1
"11",0
"12",1
"13",1
"14",1
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",1
"22",1
"23",1
"24",1
"25",0
"26",0
"27",1
"28",1
"29",1
"30",1
"31",1
"32",1
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",1
"41",0
"42",0
"43",0
"44",0
"45",0
"46",1
"47",0
"48",0
"49",0
"50",0
"51",0
"52",1
"53",1
"54",1
"55",0
"56",1
"57",0
"58",1
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",1
"67",0
"68",0
"69",1
"70",1
"71",0
"72",0
"73",1
"74",0
"75",0
"76",1
"77",0
"78",1
"79",0
"80",1
"81",0
"82",1
"83",0
"84",1
"85",1
"86",0
"87",1
"88",1
"89",0
"90",0
"91",0
"92",0
"93",0
"94",1
"95",1
"96",1
"97",1
"98",0
"99",0
"100",0
"101",1
"102",1
"103",0
"104",0
"105",1
"106",0
"107",0
"108",1
"109",0
"110",0
"111",1
"112",0
"113",0
"114",1
"115",0
"116",1
"117",1
"118",0
"119",0
"120",0
"121",1
"122",1
"123",1
"124",0
"125",1
"126",0
"127",0
"128",1
"129",0
"130",1
"131",0
"132",0
"133",0
"134",0
"135",0
"136",1
"137",0
"138",0
"139",1
"140",1
"141",1
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",1
"149",0
"150",0
"151",1
"152",1
"153",0
"154",0
"155",1
"156",0
"157",0
"158",1
"159",1
"160",0
"161",1
"162",0
"163",0
"164",0
"165",0
"166",1
"167",0
"168",1
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",1
"177",0
"178",0
"179",0
"180",1
"181",0
"182",0
"183",0
"184",1
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",1
"192",0
"193",1
"194",1
"195",0
"196",0
"197",0
"198",1
"199",0
"200",1
