"","x"
"1",1
"2",1
"3",0
"4",0
"5",0
"6",0
"7",1
"8",1
"9",0
"10",1
"11",1
"12",1
"13",1
"14",0
"15",1
"16",1
"17",0
"18",0
"19",0
"20",0
"21",1
"22",1
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",1
"30",0
"31",1
"32",1
"33",1
"34",1
"35",0
"36",0
"37",0
"38",1
"39",1
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",1
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",1
"56",1
"57",0
"58",0
"59",0
"60",1
"61",1
"62",0
"63",0
"64",1
"65",1
"66",0
"67",0
"68",0
"69",0
"70",0
"71",1
"72",0
"73",0
"74",1
"75",0
"76",0
"77",1
"78",0
"79",0
"80",0
"81",1
"82",0
"83",0
"84",1
"85",0
"86",1
"87",1
"88",1
"89",1
"90",0
"91",1
"92",1
"93",0
"94",0
"95",1
"96",1
"97",1
"98",0
"99",1
"100",1
"101",0
"102",0
"103",0
"104",1
"105",1
"106",0
"107",0
"108",0
"109",1
"110",1
"111",0
"112",0
"113",0
"114",1
"115",0
"116",0
"117",1
"118",1
"119",1
"120",1
"121",0
"122",1
"123",0
"124",1
"125",0
"126",0
"127",1
"128",0
"129",0
"130",1
"131",0
"132",1
"133",1
"134",0
"135",1
"136",0
"137",0
"138",0
"139",1
"140",0
"141",0
"142",1
"143",1
"144",0
"145",1
"146",1
"147",0
"148",1
"149",0
"150",1
"151",0
"152",0
"153",1
"154",0
"155",1
"156",1
"157",0
"158",1
"159",0
"160",1
"161",1
"162",1
"163",0
"164",0
"165",0
"166",0
"167",0
"168",1
"169",1
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",1
"179",0
"180",1
"181",1
"182",0
"183",1
"184",0
"185",1
"186",0
"187",0
"188",0
"189",0
"190",0
"191",1
"192",0
"193",0
"194",1
"195",0
"196",0
"197",1
"198",0
"199",0
"200",0
