"","x"
"1",1
"2",0
"3",0
"4",0
"5",1
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",1
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",1
"25",1
"26",0
"27",1
"28",0
"29",0
"30",1
"31",0
"32",1
"33",0
"34",0
"35",0
"36",0
"37",1
"38",0
"39",0
"40",0
"41",0
"42",1
"43",0
"44",0
"45",0
"46",1
"47",0
"48",0
"49",0
"50",0
"51",1
"52",0
"53",0
"54",1
"55",1
"56",0
"57",1
"58",0
"59",0
"60",0
"61",0
"62",0
"63",1
"64",0
"65",1
"66",0
"67",0
"68",0
"69",1
"70",1
"71",0
"72",0
"73",1
"74",0
"75",0
"76",0
"77",0
"78",1
"79",0
"80",1
"81",0
"82",1
"83",0
"84",0
"85",1
"86",0
"87",0
"88",0
"89",0
"90",1
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",1
"98",1
"99",0
"100",0
"101",1
"102",0
"103",0
"104",0
"105",0
"106",1
"107",0
"108",0
"109",0
"110",0
"111",1
"112",1
"113",1
"114",0
"115",0
"116",1
"117",0
"118",0
"119",0
"120",0
"121",0
"122",1
"123",0
"124",0
"125",0
"126",0
"127",0
"128",1
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",1
"141",0
"142",0
"143",0
"144",1
"145",0
"146",0
"147",1
"148",1
"149",0
"150",0
"151",0
"152",1
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",1
"160",0
"161",0
"162",0
"163",1
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",1
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",1
"180",0
"181",0
"182",1
"183",0
"184",0
"185",0
"186",0
"187",0
"188",1
"189",0
"190",1
"191",1
"192",0
"193",0
"194",0
"195",1
"196",1
"197",0
"198",0
"199",0
"200",0
